source_serial,institute_code,institution_label,source_name_address_excerpt,state_ut,source_page,source_y_top_pt,listing_scope
54,CH002,Government Rehabilitation Institute for Intellectual Disabilities (Regional Institute for the Mentally Handicapped) (RIMH),"Government Rehabilitation Institute for Intellectual | Disabilities | (Regional Institute for the Mentally Handicapped) (RIMH), | Ashadeep Building, | Sector – 31, Chandigarh – 160047",Chandigarh,6,563.03,listed_in_2026-02-04_register; current_activity_not_assessed
55,CH003,Indian National Portage Association,"Indian National Portage Association, | Room No:14-15, 1st floor, Karuna Sadan, | Sector-11- B, Chandigarh- 11",Chandigarh,6,738.11,listed_in_2026-02-04_register; current_activity_not_assessed
56,CH004,Department of Community Education & Disability Studies,"Department of Community Education & Disability | Studies, Panjab University, Chandigarh – 160014",Chandigarh,7,97.91,listed_in_2026-02-04_register; current_activity_not_assessed
57,CH005,Government Medical College & Hospital,"Government Medical College & Hospital, Department of | Psychiatry, Level –V, Block –D, Sector – 32, Chandigarh – | 160030",Chandigarh,7,189.83,listed_in_2026-02-04_register; current_activity_not_assessed
58,CG001,Lions Charitable Trust,"Lions Charitable Trust,“ Prayas”, | Shravan Viklang Sansthan, G.E. Road, Supela , Bhilai, Durg, | Chattisgarh-490023",Chhattisgarh,7,239.99,listed_in_2026-02-04_register; current_activity_not_assessed
59,CG002,AAKANKSHA Lions Institute of Learning and Empowerment,"AAKANKSHA Lions Institute of Learning and | Empowerment, | Avanti Vihar, | Disrict – Raipur, Chattisgarh – 492006",Chhattisgarh,7,311.03,listed_in_2026-02-04_register; current_activity_not_assessed
60,CG006,Post Graduate Institute of Behavioural & Medical Sciences,"Post Graduate Institute of Behavioural & Medical | Sciences, | Opp. Rajkumar College, Swami , Atmanand Marg, Raipur, | Chattisgarh",Chhattisgarh,7,491.39,listed_in_2026-02-04_register; current_activity_not_assessed
61,CG007,Department of E.N.T,"Department of E.N.T., Dr. Bhim Rao Ambedkar Memorial | Hospital & Pt. J.N.M Medical College, Raipur, Chattisgarh",Chhattisgarh,7,549.95,listed_in_2026-02-04_register; current_activity_not_assessed
62,CG008,Department of Education,"Department of Education, Guru Ghasidas | Vishwavidyalaya, (A Central University), Bilaspur, | Chattisgarh – 495009",Chhattisgarh,7,612.11,listed_in_2026-02-04_register; current_activity_not_assessed
63,CG009,Surguja Gyanodaya Association Oid State Bank Building,"Surguja Gyanodaya Association | Oid State Bank Building, Near Bengali Club, | Bishrampur, Dist. Surajpur, Chattisgarh",Chhattisgarh,7,722.39,listed_in_2026-02-04_register; current_activity_not_assessed
64,CG010,Piyali Foundation College For Special Education 1/10 Rajiv Nagar P.O Shankar Nagar,"Piyali Foundation College For Special | Education 1/10 Rajiv Nagar P.O Shankar Nagar, Raipur, | Chhattisgarh-492007",Chhattisgarh,8,125.63,listed_in_2026-02-04_register; current_activity_not_assessed
