source_serial,institute_code,institution_label,source_name_address_excerpt,state_ut,source_page,source_y_top_pt,listing_scope
581,RJ112,Ronak Special Teacher Training Institute,"Ronak Special Teacher Training Institute, (Run by Prantiya | Gramin Vikas Avam Audyogik Prashikshan Sansthan) | 46, Shree Krishna Nagar, Sumel, Agra Road, Jaipur-302031",Rajasthan,64,556.67,listed_in_2026-02-04_register; current_activity_not_assessed
582,RJ113,Laugh n’Learn (A academy of Special Education) Tonk Road,"Laugh n’Learn (A academy of Special | Education) | Tonk Road, Jaipur, Rajasthan-302015",Rajasthan,64,613.67,listed_in_2026-02-04_register; current_activity_not_assessed
583,RJ114,Bharti Special College Dausa Run by Bhartiya Adarsh Vidya Mandir Uchch Madhyamik Vidhyalaya Sansthan,"Bharti Special College Dausa | Run by Bhartiya Adarsh Vidya Mandir Uchch Madhyamik | Vidhyalaya Sansthan, Dausa, Rajasthan",Rajasthan,64,656.03,listed_in_2026-02-04_register; current_activity_not_assessed
584,RJ115,Institute of Rehabilitation Sciences and Research (I.R.S.R.) Department of Rehabilitation Science and Research,"Institute of Rehabilitation Sciences and Research | (I.R.S.R.) | Department of Rehabilitation Science and Research, S.K.D. | University, City Office, Sec-12, Hanumangarh Jn. Rajasthan- | 335512",Rajasthan,64,703.07,listed_in_2026-02-04_register; current_activity_not_assessed
585,RJ116,Sahyog Sewa Sansthan,"Sahyog Sewa Sansthan, | Didwana, Distt- Nagaur, Rajasthan-341303",Rajasthan,64,769.55,listed_in_2026-02-04_register; current_activity_not_assessed
586,RJ117,The Lords University,"The Lords University, | Chikani Alwar, Rajasthan – 301028",Rajasthan,65,81.23,listed_in_2026-02-04_register; current_activity_not_assessed
587,RJ118,University of Technology,"University of Technology, | Fatehpura Road, Post- Kumahariyawas, Vatika, Jaipur, | Rajasthan – 303903",Rajasthan,65,134.51,listed_in_2026-02-04_register; current_activity_not_assessed
588,RJ119,Sunrise University,"Sunrise University, | Tehsil-Rampur, Dist- Alwar, Rajasthan-301030",Rajasthan,65,230.15,listed_in_2026-02-04_register; current_activity_not_assessed
589,RJ120,Aditya Institute of Rehabilitation Sciences (Run by Arya Shiksha Samiti),"Aditya Institute of Rehabilitation Sciences (Run by Arya | Shiksha Samiti), Bandikui, Th- Baswa, Dausa, Rajasthan- | 303313",Rajasthan,65,274.55,listed_in_2026-02-04_register; current_activity_not_assessed
590,RJ121,Navjyoti College of Special Education,"Navjyoti College of Special Education, | (Run by Navjyoti Viklang Kalyan Evam Punarwas Sansthan), | Behain Shiv Mandir Cinema, Collectorate Road, | Hanumangarh, Rajasthan – 335512",Rajasthan,65,317.03,listed_in_2026-02-04_register; current_activity_not_assessed
591,RJ122,"Asha Ka Jharna, Ward No. 2","Asha Ka Jharna, | Ward No. 2, Nawalgarh, Rajasthan-333042",Rajasthan,65,367.55,listed_in_2026-02-04_register; current_activity_not_assessed
592,RJ123,Kanchan Special College,"Kanchan Special College, | Run by Late Shree Badree Narayan Shiksha Samiti, | Ramgarh, Pachwara, Teh. Lalsot, Dausa Rajasthan – 303510",Rajasthan,65,401.51,listed_in_2026-02-04_register; current_activity_not_assessed
593,RJ124,Late Shri Ram Kumar College of Special Education (Run by Sundar Devi Khangaram Public School Samiti) Uttam Nagar,"Late Shri Ram Kumar College of Special Education (Run | by Sundar Devi Khangaram Public School Samiti) | Uttam Nagar, Dundlod, Nawalgarh, Jhunjhunu, Rajasthan",Rajasthan,65,452.75,listed_in_2026-02-04_register; current_activity_not_assessed
594,RJ125,Surya College of Special Education Run by Saur Chetna Evam Urja Vigyan Shodh Sansthan,"Surya College of Special Education | Run by Saur Chetna Evam Urja Vigyan Shodh Sansthan, Sri | Ganganagar, Running, Unit Bikaner, 1B, Sudarshan Nagar, | Bikaner, Rajasthan",Rajasthan,65,509.75,listed_in_2026-02-04_register; current_activity_not_assessed
595,RJ126,Shri Bapuji Special Teacher Training Centre (Run by Shree Baba Ramdev Medical Education Societyt),"Shri Bapuji Special Teacher Training Centre (Run by | Shree Baba Ramdev Medical Education Societyt), Ladnun, | Nagaur, Rajasthan – 341306",Rajasthan,65,568.79,listed_in_2026-02-04_register; current_activity_not_assessed
596,RJ128,Navjeevan Special School & Teachers Training Institute (Run by Gogameri Jan Jagarti Vikas Seva Samiti) Near Ambedkar Chowk,"Navjeevan Special School & Teachers Training Institute | (Run by Gogameri Jan Jagarti Vikas Seva Samiti) | Near Ambedkar Chowk, Bhadra, | Distt- Hanumangarh, Rajasthan",Rajasthan,65,614.27,listed_in_2026-02-04_register; current_activity_not_assessed
597,RJ129,Shree Bhadariya Ray Shikshan Sansthan,"Shree Bhadariya Ray Shikshan Sansthan, Gandhi Nagar, | Samdari Road, Balotra, Barmer Rajasthan – 344022",Rajasthan,65,686.99,listed_in_2026-02-04_register; current_activity_not_assessed
598,RJ130,Chetna Special Education Teacher Training College,"Chetna Special Education Teacher Training College, (Run | by Shri Bhayya shiksha Samiti), Nainwa Road, Uniyara, Tonk, | Rajasthan",Rajasthan,65,740.27,listed_in_2026-02-04_register; current_activity_not_assessed
599,RJ131,R. G. Special Teacher Training Centre Ladnun,"R. G. Special Teacher Training Centre Ladnun, Nagaur, | Rajasthan – 341517",Rajasthan,65,786.23,listed_in_2026-02-04_register; current_activity_not_assessed
600,RJ132,Shri Balaji Group of Special Education (Run by Shri Balaji shaikshanik Sansthan),"Shri Balaji Group of Special Education | (Run by Shri Balaji shaikshanik Sansthan), | 46, Manji Ka Hatha, Paota, Jodhpur, Rajasthan",Rajasthan,66,99.59,listed_in_2026-02-04_register; current_activity_not_assessed
601,RJ133,Yagam Special Teacher Training Center (Run by Prerna Public Shikshan Sansthan),"Yagam Special Teacher Training Center (Run by Prerna | Public Shikshan Sansthan), Sujangarh, Churu, Rajasthan – | 333801",Rajasthan,66,166.55,listed_in_2026-02-04_register; current_activity_not_assessed
602,RJ134,Ayushmaan College of Special Education,"Ayushmaan College of Special Education, | Dist- Dausa, Rajasthan-303303",Rajasthan,66,200.51,listed_in_2026-02-04_register; current_activity_not_assessed
603,RJ135,Alok Public School shiksha Samiti Tonk,"Alok Public School shiksha Samiti Tonk, Teacher Traiing | Center DSEIDD College, Shastri Nagar, Tonk, Rajasthan- | 304001",Rajasthan,66,226.67,listed_in_2026-02-04_register; current_activity_not_assessed
604,RJ136,Yash Rehabilitation Centre for Handicapped Children,"Yash Rehabilitation Centre for Handicapped Children, | Plot- No. 76-77, Himmatpura, Ranthambhore Road, Sawai | Madhopur, Rajasthan | -322001",Rajasthan,66,270.59,listed_in_2026-02-04_register; current_activity_not_assessed
605,RJ137,Shri Bhandari Special Teacher Training Centre,"Shri Bhandari Special Teacher Training Centre, (Run by | Shri Nath Jankalyan & Vikas Sansthan), Jhotwara, Jaipur, | Rajasthan",Rajasthan,66,313.55,listed_in_2026-02-04_register; current_activity_not_assessed
606,RJ138,Forex Welfare Society Shiv B.Ed. College Special Education (IDD) College,"Forex Welfare Society | Shiv B.Ed. College Special Education (IDD) College, Saoli | Mod, Teh. Dooni, Distt- Tonk, Rajasthan",Rajasthan,66,355.43,listed_in_2026-02-04_register; current_activity_not_assessed
607,RJ139,Shri Krishna Special Teacher Training Centre,"Shri Krishna Special Teacher Training Centre, | Run by shubhdeep Group Sewa Sansthan, Karni Nagar Basni | 1st Phase, Jodhpur Rajasthan-342005",Rajasthan,66,400.91,listed_in_2026-02-04_register; current_activity_not_assessed
608,RJ140,Marwar Winners Special Teacher Training College (Run by winners Educational Society),"Marwar Winners Special Teacher Training College (Run | by winners Educational Society), Osian Road, Soyia, Jodhpur, | Rajasthan-342037",Rajasthan,66,434.39,listed_in_2026-02-04_register; current_activity_not_assessed
609,RJ141,Saraswati Vidya Ashram Samiti,"Saraswati Vidya Ashram Samiti, Sawai Madhopur, | Rajasthan-324009",Rajasthan,66,505.43,listed_in_2026-02-04_register; current_activity_not_assessed
610,RJ142,Satguru Teacher Training College,"Satguru Teacher Training College, | Run by Lavanya Seva Sansthan, Nawalgarh Road, Sikar, | Rajasthan",Rajasthan,66,556.67,listed_in_2026-02-04_register; current_activity_not_assessed
611,RJ143,Shri Kalyan Special Teacher Center (Run by Guman Public Sansthan),"Shri Kalyan Special Teacher Center | (Run by Guman Public Sansthan), | Vill- Meharana, Post- Jawla, Nagaur, Rajasthan- 341503",Rajasthan,66,602.63,listed_in_2026-02-04_register; current_activity_not_assessed
612,RJ144,Anmol Special Teacher Training Center,"Anmol Special Teacher Training Center, (Run by Anmol | Janhit Sansthan) Jhotwara, Jaipur, Rajasthan",Rajasthan,66,652.79,listed_in_2026-02-04_register; current_activity_not_assessed
613,RJ145,Madhur Special Shikshan Prashikshan Sansthan,"Madhur Special Shikshan Prashikshan Sansthan, | Depalsar Road, Churu, Rajasthan-331001",Rajasthan,66,687.83,listed_in_2026-02-04_register; current_activity_not_assessed
614,RJ146,The First One Institute of Special Education,"The First One Institute of Special Education, Aabadhi | Bhumi Kabri dungri, Mundota, Jaipur, Rajasthan-303706",Rajasthan,66,727.07,listed_in_2026-02-04_register; current_activity_not_assessed
615,RJ147,Vivek Vardhini Shiksha Avm Manovikas Sewa samiti,"Vivek Vardhini Shiksha Avm Manovikas Sewa samiti, | Bhedola Road Choth Ka Barwada, Sawai Madhopur, | Rajasthan-303002",Rajasthan,67,81.23,listed_in_2026-02-04_register; current_activity_not_assessed
616,RJ148,Veer Teja Special Teacher Training College (Run by Shri Mahadev shikshan Sansthan),"Veer Teja Special Teacher Training College (Run by Shri | Mahadev shikshan Sansthan), Nimbalkot, Sindhari, Rajasthan- | 344001",Rajasthan,67,128.39,listed_in_2026-02-04_register; current_activity_not_assessed
617,RJ149,Shri Mahadev Special Teacher Training Center (Run By Shri Shiv Bal Vidhya Mandir Sansthan),"Shri Mahadev Special Teacher Training Center (Run By | Shri Shiv Bal Vidhya Mandir Sansthan), VPO-Gotan, Teh. | Merta City, | Nagaur, Rajasthan-342902",Rajasthan,67,171.35,listed_in_2026-02-04_register; current_activity_not_assessed
618,RJ150,Shyam University,"Shyam University, Department of Special Education, | Dehlal-Didwana, Tehsil- Lalsot, Dausa, Rajasthan- 303511",Rajasthan,67,215.27,listed_in_2026-02-04_register; current_activity_not_assessed
619,RJ151,National Education & Welfare Society Teacher Training,"National Education & Welfare Society Teacher Training, | Vill-Kolana, Bandikui(Dausa), Rajasthan-303313",Rajasthan,67,354.83,listed_in_2026-02-04_register; current_activity_not_assessed
620,RJ152,Life Style Welfare Sanstha,"Life Style Welfare Sanstha, | NH-52, Kirdoli Road, Bhadhadar, Dist-Sikar Rajasthan- | 322315",Rajasthan,67,399.35,listed_in_2026-02-04_register; current_activity_not_assessed
621,RJ153,Rudraksh Special Teachers Training College,"Rudraksh Special Teachers Training College, Run by | Rudraksh Educational and Welfare Society, | 326, Mohan Nagar ‘B’ BJS Colony, Jodhpur, | Rajasthan-342006",Rajasthan,67,451.67,listed_in_2026-02-04_register; current_activity_not_assessed
622,RJ154,Madhani College of Special Educaiton (Run by Lakshay shekshnik & Samajik Sansthan),"Madhani College of Special Educaiton | (Run by Lakshay shekshnik & Samajik Sansthan), Ramsar- | Barmer, Rajasthan-344502",Rajasthan,67,503.03,listed_in_2026-02-04_register; current_activity_not_assessed
623,RJ155,Department of Education,"Department of Education, | Maharaj Vinayak Global University, | NH 11C Delhi National Highway Dhand Ajmer Jaipur, | Rajasthan-302028",Rajasthan,67,543.83,listed_in_2026-02-04_register; current_activity_not_assessed
624,RJ156,Tanwar Shiksha Sansthan,"Tanwar Shiksha Sansthan, | KH. No. 18, Ramjan Ka Hatha, Banar Road, Jodhpur, | Rajasthan-342015",Rajasthan,67,614.87,listed_in_2026-02-04_register; current_activity_not_assessed
625,RJ157,Govt. Teacher Training Center for HI,"Govt. Teacher Training Center for HI, | (Run by Mansik Viklang shikshak Prashikshan Kendra), | Jamdoli, Jaipur, Rajasthan -302001",Rajasthan,67,657.71,listed_in_2026-02-04_register; current_activity_not_assessed
626,RJ158,Marudhar Special Teachers Training College,"Marudhar Special Teachers Training College, | Saran Nagar, Banar Road, Jodhpur Rajasthan-302015",Rajasthan,67,708.47,listed_in_2026-02-04_register; current_activity_not_assessed
627,RJ159,Swami Vivekanand Punarvas Sansthan,"Swami Vivekanand Punarvas Sansthan, | VPO- Bassi Jaipur, Rajasthan-303301",Rajasthan,67,761.75,listed_in_2026-02-04_register; current_activity_not_assessed
628,RJ160,Sweekar Special School Samiti,"Sweekar Special School Samiti, | 68 Maharsi Gautam Nagar-II, Bilwa Sanganer, Jaipur",Rajasthan,67,796.79,listed_in_2026-02-04_register; current_activity_not_assessed
629,RJ161,Om Shikshan Sansthan,"Om Shikshan Sansthan, | Choudhary Charan Singh Colony, Sarvoday Basti, Bikaner, | Rajasthan – 334001",Rajasthan,68,115.79,listed_in_2026-02-04_register; current_activity_not_assessed
630,RJ162,T.R. Memorial Special Teacher Training College Deora (Run by shree Ganesh shiksha Samiti) Teh. Chitalwana,"T.R. Memorial Special Teacher Training College Deora | (Run by shree Ganesh shiksha Samiti) | Teh. Chitalwana, Dist-Jalore Rajasthan-343040",Rajasthan,68,161.27,listed_in_2026-02-04_register; current_activity_not_assessed
631,RJ163,Assent Special Teacher Training Center (Run by Prayas Seva Sansthan) Didwana,"Assent Special Teacher Training Center | (Run by Prayas Seva Sansthan) Didwana, Nagaur, Rajasthan- | 341303",Rajasthan,68,205.19,listed_in_2026-02-04_register; current_activity_not_assessed
632,RJ164,The Little Star Special Teacher Training Center (Run by Vinod Kumar Gurjar Memorial Educational Society),"The Little Star Special Teacher Training Center (Run by | Vinod Kumar Gurjar Memorial Educational Society), Didwana, | Nagaur, Rajasthan – 345108",Rajasthan,68,239.75,listed_in_2026-02-04_register; current_activity_not_assessed
633,RJ165,"M. D. Sansthan, Plot No. 8","M. D. Sansthan, | Plot No. 8, Shree Ram Vatika, Govind Pura, Sanganer, | Jaipur, Rajasthan -302022",Rajasthan,68,281.51,listed_in_2026-02-04_register; current_activity_not_assessed
634,RJ166,Raj Special Education Teacher Training College ( Run by G.L.S. Academy Edu. & Welfare Society),"Raj Special Education Teacher Training College ( Run by | G.L.S. Academy Edu. & Welfare Society), | Sikar Road Deep Pura Kuchaman City, Nagaur, Rajasthan- | 345108",Rajasthan,68,325.43,listed_in_2026-02-04_register; current_activity_not_assessed
635,RJ167,Lovely Mamta Special College of Education (Run by Mamta Punarvas Evam Samajik Shodh Sansthan S1 Greenland Clone near Udemsingh Chok Kesrisinghpur,"Lovely Mamta Special College of Education (Run by | Mamta Punarvas Evam Samajik Shodh Sansthan | S1 Greenland Clone near Udemsingh Chok Kesrisinghpur, Sri | Ganganagar, Rajasthan-335027",Rajasthan,68,375.71,listed_in_2026-02-04_register; current_activity_not_assessed
636,RJ168,Little Feet Institute of Special Education,"Little Feet Institute of Special Education, Lalsot, Dist- | Dausa, Rajasthan- 303503",Rajasthan,68,436.91,listed_in_2026-02-04_register; current_activity_not_assessed
637,RJ169,Shri Ram Special Teacher Training College (Run by Shri Rawatsingh Bhomiyaji Shikshan Shod Sansthan),"Shri Ram Special Teacher Training College | (Run by Shri Rawatsingh Bhomiyaji Shikshan Shod | Sansthan),, | Gagari Road, Tinware, | Jodhpur, Rajasthan-342306",Rajasthan,68,474.59,listed_in_2026-02-04_register; current_activity_not_assessed
638,RJ170,Suresh Gyan Vihar University Mahal,"Suresh Gyan Vihar University | Mahal, Jagatpura, Jaipur, Rajasthan-302017",Rajasthan,68,549.95,listed_in_2026-02-04_register; current_activity_not_assessed
639,RJ171,Maa Vankal College of Special Education (Run by Maalani Jan Kalyan Evam shikshan Sansthan),"Maa Vankal College of Special Education (Run by Maalani | Jan Kalyan Evam shikshan Sansthan), Chohtan Barmer, | Rajasthan-344702",Rajasthan,68,588.23,listed_in_2026-02-04_register; current_activity_not_assessed
640,RJ172,Samarpan Teacher Training Institute (Run by Samarpan Sansthan) Near New Allen School,"Samarpan Teacher Training Institute | (Run by Samarpan Sansthan) | Near New Allen School, Kota Road, Baran Rajasthan – | 325205",Rajasthan,68,654.11,listed_in_2026-02-04_register; current_activity_not_assessed
641,RJ173,Manohar Bal Mandir Samiti,"Manohar Bal Mandir Samiti, | MBM D.Ed. Special College Sector No. 2, Housing Board, | Jawahar Nagar, Sri Ganganagar, Rajasthan-303103",Rajasthan,68,701.27,listed_in_2026-02-04_register; current_activity_not_assessed
642,RJ174,Swera Rehabilitation Training Institute (Run by Society for Single Women Empowerment and Relief),"Swera Rehabilitation Training Institute | (Run by Society for Single Women Empowerment and Relief), | Gurukul Parisar Kishanghat, Jetwai Road, Jaisalmer, | Rajasthan -345001",Rajasthan,68,752.03,listed_in_2026-02-04_register; current_activity_not_assessed
643,RJ175,Viraj Special Education Teacher Training College,"Viraj Special Education Teacher Training College, (Run by | Shri Viklang Vikas Sewa Samiti), Sikar Road Deep Pura",Rajasthan,68,794.99,listed_in_2026-02-04_register; current_activity_not_assessed
644,RJ176,Mahatma Jyotirao Phule Rehabilitation Center,"Mahatma Jyotirao Phule Rehabilitation Center, | Sadulpur, Churu, Rajasthan-331023",Rajasthan,69,128.39,listed_in_2026-02-04_register; current_activity_not_assessed
645,RJ177,Bharati Bal Mandir Samiti,"Bharati Bal Mandir Samiti, | New Ramgarh Road, Jaipur (Subhash Chowk), Rajasthan- | 302002",Rajasthan,69,166.07,listed_in_2026-02-04_register; current_activity_not_assessed
646,RJ178,Bhagwati Teacher Training Institute Near Railway Station Opp. Ramdwara,"Bhagwati Teacher Training Institute | Near Railway Station Opp. Ramdwara, | NH 27, Bassi Chittorgarh, Rajasthan-332702",Rajasthan,69,206.87,listed_in_2026-02-04_register; current_activity_not_assessed
647,RJ179,Rehan Public Shikshan Sansthan,"Rehan Public Shikshan Sansthan, | DANTA, TEH.-DANTARAMGARH, | SIKAR, RAJASTHAN-332702",Rajasthan,69,250.31,listed_in_2026-02-04_register; current_activity_not_assessed
648,RJ180,SAI College of Special Education & Research,"SAI College of Special Education & Research, | Run by Yogita Udhyamita Evam Vikas Sansthan, | Radi Ke Balagi, Jhalawar, Rajasthan-326001",Rajasthan,69,292.19,listed_in_2026-02-04_register; current_activity_not_assessed
649,RJ181,Shree Dev Narayan Shiksha Samiti Shanti Nagar,"Shree Dev Narayan Shiksha Samiti | Shanti Nagar, Tikariya Road, Chaksu, Jaipur, Rajasthan",Rajasthan,69,358.07,listed_in_2026-02-04_register; current_activity_not_assessed
650,RJ182,KCP Special Education Teacher Training College(Run by Raj Shaikshaik Evam Prashaikshik Sew Sansthan),"KCP Special Education Teacher Training College(Run by | Raj Shaikshaik Evam Prashaikshik Sew Sansthan), | Basni Kalan, Fatenagar, Mavli, Udaipur, Rajasthan-313206",Rajasthan,69,404.03,listed_in_2026-02-04_register; current_activity_not_assessed
651,RJ183,Parmanand Trilokchand Rehabiltiation Center Sujangarh,"Parmanand Trilokchand Rehabiltiation Center | Sujangarh, Dist- Churu, Rajasthan-331507",Rajasthan,69,462.11,listed_in_2026-02-04_register; current_activity_not_assessed
652,RJ184,B.R. Memorial Special Teacher’s Training College 3,"B.R. Memorial Special Teacher’s Training | College | 3, Park Residency Colony, Kishorepura Road Hatoj, District | –Jaipur | Rajasthan -302012",Rajasthan,69,499.79,listed_in_2026-02-04_register; current_activity_not_assessed
653,RJ185,Lokmanya Tilak Special D.Ed.College (Lokmanya Tilak Jankalyan Shikshan Sansthan) VPO- Bindayak,"Lokmanya Tilak Special D.Ed.College (Lokmanya Tilak | Jankalyan Shikshan Sansthan) | VPO- Bindayak, Sirsi Road, Jhothwara, Jaipur Rajasthan- | 302041",Rajasthan,69,558.95,listed_in_2026-02-04_register; current_activity_not_assessed
654,RJ186,Disha Special Teacher Training Institute Run by Anu Shiksha Avam Swasthya Samiti Near Joshi Ki Kothi,"Disha Special Teacher Training Institute Run by Anu | Shiksha Avam Swasthya Samiti | Near Joshi Ki Kothi, Lalsot Road, Dausa, Rajasthan-303303",Rajasthan,69,602.87,listed_in_2026-02-04_register; current_activity_not_assessed
655,RJ187,Kalyan Jan Seva Shiksha Evam Gramin Vikas Samiti Jain Mandir Ke Pass,"Kalyan Jan Seva Shiksha Evam Gramin Vikas Samiti | Jain Mandir Ke Pass, Sevar Road, Gandhinagar, Bharatpur, | Rajasthan -321001",Rajasthan,69,644.15,listed_in_2026-02-04_register; current_activity_not_assessed
656,RJ188,Social Development and Education Society Weir,"Social Development and Education Society | Weir, Bharatpur, Rajasthan – 321408",Rajasthan,69,695.51,listed_in_2026-02-04_register; current_activity_not_assessed
657,RJ189,Pancholi Vishesh T.T. College Run by Pancholi Siksha Samiti Mai Road,"Pancholi Vishesh T.T. College | Run by Pancholi Siksha Samiti | Mai Road, Parsavara, Nadbai, Bharatpur, Rajasthan-321602",Rajasthan,69,733.67,listed_in_2026-02-04_register; current_activity_not_assessed
658,RJ190,Shree Krishna Jan Sewa Sansthan (Run by Krishna Adarsh Vidya Mandir Samiti) 293,"Shree Krishna Jan Sewa Sansthan (Run by Krishna Adarsh | Vidya Mandir Samiti) | 293, Lalkua Se Kasganj Road, Nadbai Bharatpur, Rajasthan – | 321602",Rajasthan,69,785.51,listed_in_2026-02-04_register; current_activity_not_assessed
659,RJ191,Milan Special College Run by Milan Defence Shiksha Samiti Jaipur Road,"Milan Special College | Run by Milan Defence Shiksha Samiti | Jaipur Road, Chomu Dist. Jaipur , Rajasthan – | 303702",Rajasthan,70,110.03,listed_in_2026-02-04_register; current_activity_not_assessed
660,RJ192,Annie Beasant Special Teachers Training College (Run by Marwar Kesari Shikshan Sansthan),"Annie Beasant Special Teachers Training College (Run by | Marwar Kesari Shikshan Sansthan), | Jodhpur, Rajasthan – 342006",Rajasthan,70,161.87,listed_in_2026-02-04_register; current_activity_not_assessed
661,RJ193,Aaina Special Teacher Training Institute Run by Aaina Social Welfare Society Kalwar Road,"Aaina Special Teacher Training Institute Run by Aaina | Social Welfare Society | Kalwar Road, Near Jhotara, Sheravatpura, Jaipur, Rajasthan | – 302032",Rajasthan,70,209.03,listed_in_2026-02-04_register; current_activity_not_assessed
662,RJ194,Prayas Seva Sansthan,"Prayas Seva Sansthan, | Near Reliance Petrol Pump. Jaipur Road Deoli, Dist-Tonk, | Rajasthan 304804",Rajasthan,70,258.71,listed_in_2026-02-04_register; current_activity_not_assessed
663,RJ195,Nims School of Humanities and Social Sciences,"Nims School of Humanities and Social Sciences, Nims | University Rajasthan | Jaipur NH 11-C, Jaipur Delhi Highway, Jaipur Rajasthan- | 303121",Rajasthan,70,305.87,listed_in_2026-02-04_register; current_activity_not_assessed
664,RJ196,M.B.M. University Jodhpur,"M.B.M. University | Jodhpur, Rajasthan – 342011",Rajasthan,70,374.99,listed_in_2026-02-04_register; current_activity_not_assessed
665,RJ197,Kavya Shiksha Evam Vikas Seva Sansthan 132 KV,"Kavya Shiksha Evam Vikas Seva Sansthan | 132 KV, GSS Colony, Karauli, Rajasthan- 322241",Rajasthan,70,413.75,listed_in_2026-02-04_register; current_activity_not_assessed
666,RJ198,Aadhar Special B.Ed.College (Run by Bharti Vidya Mandir,"Aadhar Special B.Ed.College | (Run by Bharti Vidya Mandir, Samiti) Jaipur road, Chomu, | District – Jaipur, Rajasthan – 303702",Rajasthan,70,451.43,listed_in_2026-02-04_register; current_activity_not_assessed
667,RJ199,Sarswati Babu-Divyang Shikshan Sansthan (Run by New Rajasthan Welfare Society) Beeenjhbayala,"Sarswati Babu-Divyang Shikshan Sansthan | (Run by New Rajasthan Welfare Society) Beeenjhbayala, | VPO – Beenjhbalaya, Tehsil – Padampur, Sri Ganganagar, | Rajasthan – 335041",Rajasthan,70,495.95,listed_in_2026-02-04_register; current_activity_not_assessed
668,RJ200,Pacific Medical College and Hospital (Affiliated to pacific Medical University) Bhilon ka bedla,"Pacific Medical College and Hospital (Affiliated to pacific | Medical University) Bhilon ka bedla, Amberi NH- 27, | Udaipur, Rajasthan – 313024",Rajasthan,70,554.63,listed_in_2026-02-04_register; current_activity_not_assessed
669,RJ201,Shri Dev Special Teacher Training Center (Run by Kala Bal Mandir Shikshan Sansthan) Deogarh,"Shri Dev Special Teacher Training Center (Run by Kala Bal | Mandir Shikshan Sansthan) Deogarh, Rajsamand, Rajsthan- | 313331",Rajasthan,70,598.07,listed_in_2026-02-04_register; current_activity_not_assessed
670,RJ202,Samarpan Special Institute (Run by Ayoush Sansthan Chasku) Usmanpura NH-12,"Samarpan Special Institute | (Run by Ayoush Sansthan Chasku) Usmanpura NH-12, Tonk, | Rajasthan-304001",Rajasthan,70,638.87,listed_in_2026-02-04_register; current_activity_not_assessed
671,RJ203,Sankalp Special Institute (Run by Priyanshu Shiksha Samiti) Newai Tonk,"Sankalp Special Institute | (Run by Priyanshu Shiksha Samiti) Newai | Tonk, Rajasthan-143030",Rajasthan,70,681.23,listed_in_2026-02-04_register; current_activity_not_assessed
672,RJ204,Mahaveer Special Teacher Training Educaiton Institute,"Mahaveer Special Teacher Training Educaiton Institute, | (Run by Mahaveer Bal Shiksha Avam Vikas Samiti) | Syalawas, Sikandra Road, Bandikui, Th. Bandikui Dist- | Dausa, Rajasthan – 300331",Rajasthan,70,728.39,listed_in_2026-02-04_register; current_activity_not_assessed
673,RJ205,Sangam Special Institute Peeplu,Sangam Special Institute Peeplu | (Run by Shri Devnarayan Shiksha Samiti) Tonk Rajasthan –,Rajasthan,70,796.43,listed_in_2026-02-04_register; current_activity_not_assessed
674,RJ206,Shri Dev Special Teacher Training Center (Run by Adarsh Vidhya Mandir Sansthan) Shahpura,"Shri Dev Special Teacher Training Center (Run by Adarsh | Vidhya Mandir Sansthan) Shahpura, Bhilwara, Rajasthan- | 313331",Rajasthan,71,112.67,listed_in_2026-02-04_register; current_activity_not_assessed
675,RJ207,Shri Devnarayan Special Teacher Training Center (Run by Shri Ishom shiksha Samiti Sansthan),"Shri Devnarayan Special Teacher Training Center (Run by | Shri Ishom shiksha Samiti Sansthan), | Gulabpura, Hurda Bhilwara, Rajasthan",Rajasthan,71,155.03,listed_in_2026-02-04_register; current_activity_not_assessed
676,RJ208,Sanskaar Special Education College (Shiv Seva Samiti) Peeplu,"Sanskaar Special Education College | (Shiv Seva Samiti) Peeplu, hospital to Nayagaon Road, Peelu | District- Tonk, Rajasthan-304801",Rajasthan,71,202.19,listed_in_2026-02-04_register; current_activity_not_assessed
677,RJ209,Shri Dev Special Teacher Training Center Raithan Shiksha & Career Samiti) Asind,"Shri Dev Special Teacher Training Center | Raithan Shiksha & Career Samiti) Asind, Bhilwara, Rajasthan",Rajasthan,71,249.35,listed_in_2026-02-04_register; current_activity_not_assessed
678,RJ210,Adarsh Gyanodaya Special Education Teacher Training Center (adarsh Gyanoday Vikash Samiti),"Adarsh Gyanodaya Special Education Teacher Training | Center (adarsh Gyanoday Vikash Samiti), | Pathwari Marg, Satation Road, Ladnun Nagaur Rajasthan- | 304001",Rajasthan,71,289.67,listed_in_2026-02-04_register; current_activity_not_assessed
679,RJ211,S.V. College of Special Education (Run by Saneshwaram Manav Seva Samiti,"S.V. College of Special Education (Run by Saneshwaram | Manav Seva Samiti, | Khangri road, Sumerpur, Dist-Pali, Rajasthan",Rajasthan,71,341.03,listed_in_2026-02-04_register; current_activity_not_assessed
680,RJ212,Ayushmaan Institute of Special Teacher Training Tonk Road,"Ayushmaan Institute of Special Teacher Training | Tonk Road, Jaipur, Rajasthan",Rajasthan,71,382.91,listed_in_2026-02-04_register; current_activity_not_assessed
681,RJ213,Murli Singh Yadav Memorial Divyang STC College,"Murli Singh Yadav Memorial Divyang | STC College, Udairamsa, Bikaner, Rajasthan",Rajasthan,71,424.19,listed_in_2026-02-04_register; current_activity_not_assessed
