institute_code,prior_label,final_label,source_page,change_reason
RJ183,Parmanand Trilokchand Rehabiltiation Center Sujangarh,Parmanand Trilokchand Rehabiltiation Center Sujangarh,69,normalized label matched source text
RJ184,B.R. Memorial Special Teacher’s Training College 3,B.R. Memorial Special Teacher’s Training College 3,69,normalized label matched source text
RJ185,Lokmanya Tilak Special D.Ed.College (Lokmanya Tilak Jankalyan Shikshan Sansthan) VPO- Bindayak,Lokmanya Tilak Special D.Ed.College (Lokmanya Tilak Jankalyan Shikshan Sansthan) VPO- Bindayak,69,normalized label matched source text
RJ186,Disha Special Teacher Training Institute Run by Anu Shiksha Avam Swasthya Samiti Near Joshi Ki Kothi,Disha Special Teacher Training Institute Run by Anu Shiksha Avam Swasthya Samiti Near Joshi Ki Kothi,69,normalized label matched source text
RJ187,Kalyan Jan Seva Shiksha Evam Gramin Vikas Samiti Jain Mandir Ke Pass,Kalyan Jan Seva Shiksha Evam Gramin Vikas Samiti Jain Mandir Ke Pass,69,normalized label matched source text
RJ188,Social Development and Education Society Weir,Social Development and Education Society Weir,69,normalized label matched source text
RJ189,Pancholi Vishesh T.T. College Run by Pancholi Siksha Samiti Mai Road,Pancholi Vishesh T.T. College Run by Pancholi Siksha Samiti Mai Road,69,normalized label matched source text
RJ190,Shree Krishna Jan Sewa Sansthan (Run by Krishna Adarsh Vidya Mandir Samiti) 293,Shree Krishna Jan Sewa Sansthan (Run by Krishna Adarsh Vidya Mandir Samiti) 293,69,normalized label matched source text
RJ191,Milan Special College Run by Milan Defence Shiksha Samiti Jaipur Road,Milan Special College Run by Milan Defence Shiksha Samiti Jaipur Road,70,normalized label matched source text
RJ192,Annie Beasant Special Teachers Training College (Run by Marwar Kesari Shikshan Sansthan),Annie Beasant Special Teachers Training College (Run by Marwar Kesari Shikshan Sansthan),70,normalized label matched source text
RJ193,Aaina Special Teacher Training Institute Run by Aaina Social Welfare Society Kalwar Road,Aaina Special Teacher Training Institute Run by Aaina Social Welfare Society Kalwar Road,70,normalized label matched source text
RJ194,Prayas Seva Sansthan,Prayas Seva Sansthan,70,normalized label matched source text
RJ195,Nims School of Humanities and Social Sciences,Nims School of Humanities and Social Sciences,70,normalized label matched source text
RJ196,M.B.M. University Jodhpur,M.B.M. University Jodhpur,70,normalized label matched source text
RJ197,Kavya Shiksha Evam Vikas Seva Sansthan 132 KV,Kavya Shiksha Evam Vikas Seva Sansthan 132 KV,70,normalized label matched source text
RJ198,Aadhar Special B.Ed.College (Run by Bharti Vidya Mandir,Aadhar Special B.Ed.College (Run by Bharti Vidya Mandir,70,normalized label matched source text
RJ199,Sarswati Babu-Divyang Shikshan Sansthan (Run by New Rajasthan Welfare Society) Beeenjhbayala,Sarswati Babu-Divyang Shikshan Sansthan (Run by New Rajasthan Welfare Society) Beeenjhbayala,70,normalized label matched source text
RJ200,Pacific Medical College and Hospital (Affiliated to pacific Medical University) Bhilon ka bedla,Pacific Medical College and Hospital (Affiliated to pacific Medical University) Bhilon ka bedla,70,normalized label matched source text
RJ201,Shri Dev Special Teacher Training Center (Run by Kala Bal Mandir Shikshan Sansthan) Deogarh,Shri Dev Special Teacher Training Center (Run by Kala Bal Mandir Shikshan Sansthan) Deogarh,70,normalized label matched source text
RJ202,Samarpan Special Institute (Run by Ayoush Sansthan Chasku) Usmanpura NH-12,Samarpan Special Institute (Run by Ayoush Sansthan Chasku) Usmanpura NH-12,70,normalized label matched source text
RJ203,Sankalp Special Institute (Run by Priyanshu Shiksha Samiti) Newai Tonk,Sankalp Special Institute (Run by Priyanshu Shiksha Samiti) Newai Tonk,70,normalized label matched source text
RJ204,Mahaveer Special Teacher Training Educaiton Institute,Mahaveer Special Teacher Training Educaiton Institute,70,normalized label matched source text
RJ205,Sangam Special Institute Peeplu (R b Sh i D Shik h S iti) T k R j th,Sangam Special Institute Peeplu,70,corrected from source name/address column
RJ206,Shri Dev Special Teacher Training Center (Run by Adarsh Vidhya Mandir Sansthan) Shahpura,Shri Dev Special Teacher Training Center (Run by Adarsh Vidhya Mandir Sansthan) Shahpura,71,normalized label matched source text
RJ207,Shri Devnarayan Special Teacher Training Center (Run by Shri Ishom shiksha Samiti Sansthan),Shri Devnarayan Special Teacher Training Center (Run by Shri Ishom shiksha Samiti Sansthan),71,normalized label matched source text
RJ208,Sanskaar Special Education College (Shiv Seva Samiti) Peeplu,Sanskaar Special Education College (Shiv Seva Samiti) Peeplu,71,normalized label matched source text
RJ209,Shri Dev Special Teacher Training Center Raithan Shiksha & Career Samiti) Asind,Shri Dev Special Teacher Training Center Raithan Shiksha & Career Samiti) Asind,71,normalized label matched source text
RJ210,Adarsh Gyanodaya Special Education Teacher Training Center (adarsh Gyanoday Vikash Samiti),Adarsh Gyanodaya Special Education Teacher Training Center (adarsh Gyanoday Vikash Samiti),71,normalized label matched source text
RJ211,S.V. College of Special Education (Run by Saneshwaram Manav Seva Samiti,S.V. College of Special Education (Run by Saneshwaram Manav Seva Samiti,71,normalized label matched source text
RJ212,Ayushmaan Institute of Special Teacher Training Tonk Road,Ayushmaan Institute of Special Teacher Training Tonk Road,71,normalized label matched source text
RJ213,Murli Singh Yadav Memorial Divyang STC College,Murli Singh Yadav Memorial Divyang STC College,71,normalized label matched source text
RJ214,Shyam Sarovar College of Education Run by Sent Johns English Academy Society) Nadbai,Shyam Sarovar College of Education Run by Sent Johns English Academy Society) Nadbai,71,normalized label matched source text
RJ215,Composite Regional Centre for Skill Development,Composite Regional Centre for Skill Development,71,normalized label matched source text
RJ216,Tantia University Sri Ganganagar,Tantia University Sri Ganganagar,71,normalized label matched source text
RJ217,Saraswati Teacher Training College,Saraswati Teacher Training College,71,normalized label matched source text
